ymd,doc_id,item,category,amount,price,discount
2025-05-08,3_420250508A,кофта жен.,одежда,3,190.98,0
2025-05-08,3_420250508H,шампунь,косметика,3,231.52,13
2025-05-08,3_420250508Y,вилки,посуда,3,215.96,1
2025-05-08,3_420250508P,гель для мытья посуды,бытовая химия,1,233.1,4
2025-05-08,3_420250508B,туалетная вода муж.,косметика,3,158.53,0
2025-05-08,3_420250508L,сковорода,посуда,1,175.49,0
2025-05-08,3_420250508N,сковорода,посуда,2,111.46,16
2025-05-08,3_420250508C,вилки,посуда,1,170.46,0
2025-05-08,3_420250508Y,средство для унитазов,бытовая химия,3,193.72,0
2025-05-08,3_420250508W,вилки,посуда,3,130.54,3
2025-05-08,3_420250508N,вилки,посуда,2,123.01,3
2025-05-08,3_420250508R,куртка муж.,одежда,2,192.53,10
2025-05-08,3_420250508J,тарелки,посуда,2,165.62,0
2025-05-08,3_420250508W,чистящее средство,бытовая химия,3,242.36,0
2025-05-08,3_420250508A,тарелки,посуда,1,226.59,0
2025-05-08,3_420250508V,вилки,посуда,1,101.73,0
2025-05-08,3_420250508C,кофта жен.,одежда,1,169.55,0
2025-05-08,3_420250508F,мыло,косметика,3,106.39,5
2025-05-08,3_420250508B,куртка муж.,одежда,3,249.64,0
2025-05-08,3_420250508B,средство для унитазов,бытовая химия,3,231.99,9
2025-05-08,3_420250508O,кофта жен.,одежда,1,201.31,13
2025-05-08,3_420250508L,ложки,посуда,3,155.0,17
2025-05-08,3_420250508H,чистящее средство,бытовая химия,1,237.41,8
2025-05-08,3_420250508C,средство для унитазов,бытовая химия,2,229.83,12
2025-05-08,3_420250508I,туалетная вода жен.,косметика,3,148.62,0
2025-05-08,3_420250508F,чистящее средство,бытовая химия,1,143.42,0
2025-05-08,3_420250508L,брюки,одежда,2,151.42,12
2025-05-08,3_420250508N,вилки,посуда,1,187.43,19
2025-05-08,3_420250508B,кастрюля,посуда,1,214.58,0
2025-05-08,3_420250508I,туалетная вода муж.,косметика,1,154.77,0
2025-05-08,3_420250508G,тарелки,посуда,1,132.33,10
2025-05-08,3_420250508M,брюки,одежда,2,131.8,18
2025-05-08,3_420250508C,гель для душа,косметика,2,232.17,0
2025-05-08,3_420250508M,сковорода,посуда,1,157.56,0
2025-05-08,3_420250508P,сковорода,посуда,1,237.4,18
2025-05-08,3_420250508O,шампунь,косметика,2,203.09,0
2025-05-08,3_420250508M,стиральный порошок,бытовая химия,1,150.79,19
2025-05-08,3_420250508U,средство для унитазов,бытовая химия,2,110.5,0
2025-05-08,3_420250508O,платье,одежда,3,148.76,0
2025-05-08,3_420250508M,туалетная вода муж.,косметика,3,178.19,0
2025-05-08,3_420250508V,средство для унитазов,бытовая химия,2,173.35,0
2025-05-08,3_420250508W,куртка муж.,одежда,2,184.79,9
2025-05-08,3_420250508A,гель для мытья посуды,бытовая химия,2,172.09,15
2025-05-08,3_420250508S,чистящее средство,бытовая химия,3,106.11,0
2025-05-08,3_420250508L,ложки,посуда,1,187.68,6
2025-05-08,3_420250508W,рубашка,одежда,3,144.52,20
2025-05-08,3_420250508H,чистящее средство,бытовая химия,3,177.08,5
2025-05-08,3_420250508U,кофта жен.,одежда,1,164.39,20
2025-05-08,3_420250508A,вилки,посуда,3,153.63,14
2025-05-08,3_420250508P,туалетная вода жен.,косметика,2,151.2,0
